date,price,sma200d,mayerMultiple,originalIndex,fourYearPrice,timestamp
2011-12-30,4.31,4.31063509000584,1.0000,1.0403,4.14,1325203200000
2011-12-31,4.71,4.512470710695495,1.0447,1.1374,4.14,1325289600000
2012-01-01,5.29,4.773261399571396,1.1093,1.2768,4.15,1325376000000
2012-01-02,5.20,4.8811655226475725,1.0663,1.2544,4.15,1325462400000
2012-01-03,4.87,4.87903418386908,0.9983,1.1735,4.15,1325548800000
2012-01-04,5.59,4.996812864406778,1.1179,1.3448,4.15,1325635200000
2012-01-05,6.87,5.264982580529348,1.3056,1.6529,4.16,1325721600000
2012-01-06,6.68,5.4422743379602565,1.2280,1.6051,4.16,1325808000000
2012-01-07,6.80,5.5927136315994534,1.2152,1.6302,4.17,1325894400000
2012-01-08,7.10,5.743107325073057,1.2357,1.6999,4.17,1325980800000
2012-01-09,6.29,5.79269196302003,1.0856,1.5049,4.18,1326067200000
2012-01-10,6.53,5.854007179037599,1.1152,1.5606,4.18,1326153600000
2012-01-11,6.89,5.933631836128219,1.1610,1.6447,4.19,1326240000000
2012-01-12,6.77,5.993627004675628,1.1301,1.6152,4.19,1326326400000
2012-01-13,6.45,6.024343130372101,1.0714,1.5375,4.20,1326412800000
2012-01-14,6.76,6.0704296311367605,1.1139,1.6088,4.20,1326499200000
2012-01-15,7.05,6.127870391549487,1.1500,1.6744,4.21,1326585600000
2012-01-16,6.72,6.160522462383919,1.0901,1.5939,4.21,1326672000000
2012-01-17,5.60,6.131001382801683,0.9133,1.3282,4.22,1326758400000
2012-01-18,5.90,6.119462878068379,0.9642,1.3984,4.22,1326844800000
2012-01-19,6.32,6.1288078049038415,1.0305,1.4954,4.22,1326931200000
2012-01-20,6.50,6.145747995058709,1.0579,1.5378,4.23,1327017600000
2012-01-21,6.18,6.147261922470967,1.0054,1.4606,4.23,1327104000000
2012-01-22,6.30,6.153749643483342,1.0242,1.4882,4.24,1327190400000
2012-01-23,6.37,6.1625947008299224,1.0344,1.5037,4.24,1327276800000
2012-01-24,6.27,6.166897846018971,1.0174,1.4787,4.24,1327363200000
2012-01-25,5.81,6.153696632183908,0.9442,1.3684,4.25,1327449600000
2012-01-26,5.37,6.125608429406362,0.8762,1.2634,4.25,1327536000000
2012-01-27,5.30,6.097247352425482,0.8698,1.2477,4.25,1327622400000
2012-01-28,5.66,6.082665666510811,0.9305,1.3308,4.25,1327708800000
2012-01-29,5.39,6.06036772427933,0.8896,1.267,4.26,1327795200000
2012-01-30,5.50,6.042965043477863,0.9107,1.2926,4.26,1327881600000
2012-01-31,5.54,6.027669748091669,0.9188,1.3001,4.26,1327968000000
2012-02-01,6.08,6.029068657037507,1.0077,1.425,4.26,1328054400000
2012-02-02,6.10,6.031083064348333,1.0114,1.4295,4.27,1328140800000
2012-02-03,5.95,6.028875504992206,0.9872,1.3938,4.27,1328227200000
2012-02-04,5.90,6.025268416723267,0.9784,1.3797,4.27,1328313600000
2012-02-05,5.68,6.016132819365405,0.9438,1.328,4.28,1328400000000
2012-02-06,5.48,6.0024541331879675,0.9134,1.2817,4.28,1328486400000
2012-02-07,5.66,5.993943472362652,0.9446,1.3228,4.28,1328572800000
2012-02-08,5.62,5.984787002059841,0.9388,1.3119,4.28,1328659200000
2012-02-09,5.84,5.981237308062674,0.9757,1.3617,4.29,1328745600000
2012-02-10,5.94,5.98022793242086,0.9929,1.3845,4.29,1328832000000
2012-02-11,5.61,5.971862135168163,0.9398,1.3078,4.29,1328918400000
2012-02-12,5.52,5.961800691486459,0.9257,1.2855,4.29,1329004800000
2012-02-13,5.35,5.948464906004625,0.8991,1.2451,4.30,1329091200000
2012-02-14,4.48,5.917298718467488,0.7577,1.0438,4.30,1329177600000
2012-02-15,4.33,5.884136668541789,0.7351,1.0069,4.30,1329264000000
2012-02-16,4.26,5.850893859898138,0.7273,0.9906,4.30,1329350400000
2012-02-17,4.39,5.821706750157802,0.7543,1.0223,4.30,1329436800000
2012-02-18,4.27,5.791282721284422,0.7373,0.994,4.30,1329523200000
2012-02-19,4.39,5.764326350840713,0.7615,1.0218,4.30,1329609600000
2012-02-20,4.37,5.737926531747957,0.7608,1.0161,4.30,1329696000000
2012-02-21,4.32,5.71157818119683,0.7555,1.0044,4.30,1329782400000
2012-02-22,4.42,5.6880824013123625,0.7769,1.0286,4.30,1329868800000
2012-02-23,5.04,5.67650084268285,0.8878,1.1726,4.30,1329955200000
2012-02-24,5.03,5.665081683318466,0.8871,1.169,4.30,1330041600000
2012-02-25,4.77,5.649693505693383,0.8447,1.1099,4.30,1330128000000
2012-02-26,4.93,5.63743464714856,0.8739,1.1454,4.30,1330214400000
2012-02-27,4.95,5.626019332300799,0.8803,1.1512,4.30,1330300800000
2012-02-28,4.86,5.6134166838298,0.8653,1.1288,4.30,1330387200000
2012-02-29,4.87,5.601470426924455,0.8699,1.1321,4.30,1330473600000
