date,price,sma200d,mayerMultiple
2012-07-16,8.49,5.51,1.5427
2012-07-17,8.75,5.53,1.5832
2012-07-18,9.10,5.55,1.6388
2012-07-19,8.88,5.57,1.5948
2012-07-20,8.53,5.58,1.5279
2012-07-21,8.88,5.60,1.5837
2012-07-22,8.51,5.62,1.5139
2012-07-23,8.53,5.63,1.5161
2012-07-24,8.57,5.64,1.5212
2012-07-25,8.77,5.65,1.5530
2012-07-26,8.88,5.66,1.5694
2012-07-27,8.89,5.67,1.5686
2012-07-28,8.84,5.68,1.5568
2012-07-29,8.75,5.69,1.5376
2012-07-30,9.09,5.70,1.5942
2012-07-31,9.32,5.72,1.6309
2012-08-01,9.57,5.73,1.6700
2012-08-02,10.55,5.75,1.8360
2012-08-03,10.92,5.77,1.8926
2012-08-04,10.92,5.79,1.8845
2012-08-05,10.81,5.82,1.8569
2012-08-06,10.87,5.84,1.8607
2012-08-07,10.94,5.86,1.8659
2012-08-08,11.07,5.89,1.8801
2012-08-09,11.10,5.91,1.8781
2012-08-10,11.45,5.94,1.9279
2012-08-11,11.54,5.96,1.9354
2012-08-12,11.59,5.99,1.9344
2012-08-13,11.98,6.03,1.9889
2012-08-14,12.19,6.06,2.0109
2012-08-15,13.17,6.10,2.1597
2012-08-16,13.45,6.14,2.1913
2012-08-17,12.08,6.17,1.9570
2012-08-18,11.58,6.20,1.8669
2012-08-19,7.83,6.21,1.2609
2012-08-20,9.98,6.23,1.6020
2012-08-21,9.90,6.25,1.5847
2012-08-22,9.77,6.27,1.5589
2012-08-23,10.09,6.29,1.6037
2012-08-24,10.59,6.32,1.6773
2012-08-25,10.58,6.34,1.6691
2012-08-26,10.55,6.37,1.6567
2012-08-27,10.90,6.39,1.7056
2012-08-28,10.93,6.42,1.7041
2012-08-29,10.87,6.44,1.6870
2012-08-30,10.73,6.47,1.6585
2012-08-31,10.10,6.49,1.5561
2012-09-01,10.01,6.52,1.5348
2012-09-02,10.23,6.55,1.5615
2012-09-03,10.50,6.58,1.5952
2012-09-04,10.36,6.61,1.5679
2012-09-05,11.03,6.64,1.6595
2012-09-06,11.16,6.68,1.6713
2012-09-07,11.08,6.71,1.6504
2012-09-08,11.04,6.74,1.6373
2012-09-09,11.06,6.78,1.6320
2012-09-10,11.13,6.81,1.6340
2012-09-11,11.27,6.84,1.6474
2012-09-12,11.32,6.87,1.6465
2012-09-13,11.38,6.90,1.6482
2012-09-14,11.73,6.94,1.6905
2012-09-15,11.72,6.97,1.6805
2012-09-16,11.89,7.01,1.6962
2012-09-17,11.91,7.04,1.6908
2012-09-18,12.26,7.08,1.7314
2012-09-19,12.50,7.12,1.7563
2012-09-20,12.37,7.16,1.7278
2012-09-21,12.33,7.19,1.7143
2012-09-22,12.21,7.23,1.6892
2012-09-23,12.17,7.27,1.6741
2012-09-24,12.11,7.30,1.6588
2012-09-25,12.18,7.34,1.6599
2012-09-26,12.32,7.38,1.6701
2012-09-27,12.32,7.41,1.6616
2012-09-28,12.38,7.45,1.6617
2012-09-29,12.40,7.49,1.6569
2012-09-30,12.39,7.52,1.6475
2012-10-01,12.39,7.56,1.6395
2012-10-02,12.81,7.59,1.6864
2012-10-03,12.96,7.63,1.6973
2012-10-04,12.86,7.67,1.6768
2012-10-05,12.75,7.71,1.6537
2012-10-06,12.51,7.75,1.6137
2012-10-07,11.87,7.78,1.5253
2012-10-08,11.73,7.82,1.5005
2012-10-09,11.83,7.86,1.5058
2012-10-10,12.11,7.89,1.5342
2012-10-11,12.07,7.93,1.5217
2012-10-12,12.03,7.97,1.5097
2012-10-13,11.93,8.00,1.4903
2012-10-14,11.65,8.04,1.4496
2012-10-15,11.91,8.07,1.4751
2012-10-16,11.85,8.11,1.4613
2012-10-17,11.92,8.14,1.4638
2012-10-18,11.93,8.18,1.4582
2012-10-19,11.76,8.21,1.4317
2012-10-20,11.69,8.25,1.4182
2012-10-21,11.66,8.28,1.4079
2012-10-22,11.74,8.31,1.4122
2012-10-23,11.71,8.35,1.4025
2012-10-24,11.63,8.38,1.3880
2012-10-25,10.75,8.41,1.2783
2012-10-26,10.13,8.44,1.2005
2012-10-27,10.46,8.47,1.2352
2012-10-28,10.71,8.50,1.2606
2012-10-29,10.63,8.52,1.2471
2012-10-30,10.86,8.55,1.2695
2012-10-31,11.15,8.58,1.2983
2012-11-01,10.61,8.61,1.2323
2012-11-02,10.53,8.64,1.2187
2012-11-03,10.65,8.67,1.2285
2012-11-04,10.80,8.70,1.2413
2012-11-05,10.74,8.73,1.2309
2012-11-06,10.87,8.75,1.2416
2012-11-07,10.95,8.78,1.2474
2012-11-08,10.89,8.81,1.2364
2012-11-09,10.82,8.84,1.2237
2012-11-10,10.86,8.87,1.2251
2012-11-11,10.84,8.90,1.2187
2012-11-12,11.03,8.93,1.2359
2012-11-13,11.00,8.96,1.2281
2012-11-14,10.96,8.99,1.2197
2012-11-15,11.18,9.02,1.2394
2012-11-16,11.71,9.05,1.2933
2012-11-17,11.75,9.08,1.2935
2012-11-18,11.67,9.12,1.2795
2012-11-19,11.75,9.15,1.2842
2012-11-20,11.70,9.18,1.2739
2012-11-21,11.73,9.22,1.2726
2012-11-22,12.29,9.25,1.3284
2012-11-23,12.28,9.29,1.3220
2012-11-24,12.41,9.33,1.3310
2012-11-25,12.53,9.36,1.3381
2012-11-26,12.18,9.40,1.2963
2012-11-27,12.16,9.44,1.2886
2012-11-28,12.33,9.47,1.3018
2012-11-29,12.50,9.51,1.3141
2012-11-30,12.59,9.55,1.3182
2012-12-01,12.59,9.59,1.3136
2012-12-02,12.50,9.62,1.2987
2012-12-03,12.66,9.66,1.3101
2012-12-04,13.37,9.70,1.3780
2012-12-05,13.31,9.74,1.3664
2012-12-06,13.48,9.79,1.3774
2012-12-07,13.48,9.83,1.3714
2012-12-08,13.50,9.87,1.3679
2012-12-09,13.35,9.91,1.3467
2012-12-10,13.49,9.95,1.3557
2012-12-11,13.62,9.99,1.3623
2012-12-12,13.67,10.04,1.3617
2012-12-13,13.76,10.08,1.3646
2012-12-14,13.60,10.12,1.3436
2012-12-15,13.53,10.16,1.3312
2012-12-16,13.33,10.21,1.3064
2012-12-17,13.32,10.25,1.3000
2012-12-18,13.27,10.29,1.2903
2012-12-19,13.54,10.33,1.3109
2012-12-20,13.57,10.37,1.3086
2012-12-21,13.43,10.41,1.2900
2012-12-22,13.43,10.45,1.2848
2012-12-23,13.32,10.49,1.2696
2012-12-24,13.43,10.53,1.2752
2012-12-25,13.37,10.57,1.2648
2012-12-26,13.45,10.61,1.2684
2012-12-27,13.40,10.65,1.2585
2012-12-28,13.46,10.69,1.2591
2012-12-29,13.37,10.72,1.2471
2012-12-30,13.45,10.76,1.2493
2012-12-31,13.55,10.80,1.2542
2013-01-01,13.33,10.83,1.2305
2013-01-02,13.28,10.87,1.2220
2013-01-03,13.38,10.90,1.2274
2013-01-04,13.45,10.94,1.2296
2013-01-05,13.46,10.97,1.2264
2013-01-06,13.50,11.01,1.2267
2013-01-07,13.56,11.04,1.2275
2013-01-08,13.78,11.08,1.2438
2013-01-09,13.82,11.12,1.2433
2013-01-10,14.12,11.16,1.2661
2013-01-11,14.23,11.19,1.2709
2013-01-12,14.21,11.23,1.2653
2013-01-13,14.16,11.27,1.2564
2013-01-14,14.32,11.31,1.2660
2013-01-15,14.31,11.35,1.2613
2013-01-16,14.71,11.39,1.2915
2013-01-17,15.60,11.43,1.3643
2013-01-18,15.72,11.48,1.3692
2013-01-19,15.59,11.52,1.3527
2013-01-20,15.72,11.57,1.3587
2013-01-21,16.78,11.62,1.4441
2013-01-22,17.30,11.67,1.4820
2013-01-23,17.54,11.73,1.4954
2013-01-24,16.90,11.78,1.4350
2013-01-25,17.41,11.83,1.4715
2013-01-26,17.55,11.88,1.4774
2013-01-27,17.86,11.93,1.4968
2013-01-28,18.79,11.99,1.5674
2013-01-29,19.51,12.05,1.6194
2013-01-30,19.74,12.11,1.6297
2013-01-31,20.51,12.18,1.6846
2013-02-01,20.44,12.24,1.6708
2013-02-02,19.64,12.29,1.5977
2013-02-03,20.58,12.35,1.6667
2013-02-04,20.44,12.41,1.6478
2013-02-05,20.66,12.47,1.6573
2013-02-06,21.21,12.53,1.6930
2013-02-07,22.12,12.60,1.7560
2013-02-08,22.79,12.67,1.7990
2013-02-09,23.73,12.74,1.8626
2013-02-10,23.90,12.82,1.8646
2013-02-11,24.50,12.90,1.8996
2013-02-12,24.98,12.98,1.9250
2013-02-13,24.64,13.06,1.8874
2013-02-14,27.28,13.15,2.0750
2013-02-15,27.17,13.24,2.0524
2013-02-16,27.35,13.33,2.0516
2013-02-17,26.93,13.42,2.0071
2013-02-18,26.93,13.50,1.9951
2013-02-19,29.41,13.59,2.1643
2013-02-20,29.82,13.68,2.1791
2013-02-21,29.82,13.78,2.1639
2013-02-22,30.47,13.88,2.1958
2013-02-23,29.81,13.97,2.1333
2013-02-24,29.88,14.07,2.1245
2013-02-25,30.35,14.16,2.1432
2013-02-26,31.16,14.26,2.1847
2013-02-27,31.24,14.36,2.1756
2013-02-28,33.38,14.47,2.3068
2013-03-01,34.61,14.58,2.3733
2013-03-02,34.14,14.69,2.3241
2013-03-03,34.45,14.80,2.3282
2013-03-04,36.38,14.91,2.4394
2013-03-05,40.67,15.06,2.7016
2013-03-06,43.28,15.21,2.8451
2013-03-07,41.95,15.38,2.7266
2013-03-08,43.90,15.55,2.8226
2013-03-09,46.89,15.74,2.9792
2013-03-10,46.07,15.92,2.8935
2013-03-11,48.28,16.11,2.9964
2013-03-12,44.41,16.28,2.7281
2013-03-13,47.02,16.46,2.8560
2013-03-14,46.93,16.64,2.8193
2013-03-15,46.90,16.82,2.7878
2013-03-16,47.16,17.01,2.7730
2013-03-17,47.33,17.19,2.7539
2013-03-18,51.37,17.39,2.9536
2013-03-19,59.50,17.64,3.3733
2013-03-20,63.69,17.91,3.5567
