BTC price,fire sale,buy,accumulate,still cheap,hold,bubble forming,fomo,sell,max bubble,date
0.07,0.04,0.06,0.08,0.11,0.15,0.21,0.28,0.38,0.52,2010-08-17
0.07,0.04,0.06,0.08,0.11,0.15,0.21,0.29,0.38,0.52,2010-08-18
0.07,0.04,0.06,0.08,0.11,0.15,0.21,0.29,0.39,0.53,2010-08-19
0.07,0.05,0.06,0.08,0.11,0.15,0.21,0.29,0.39,0.53,2010-08-20
0.07,0.05,0.06,0.09,0.12,0.16,0.21,0.30,0.40,0.54,2010-08-21
0.07,0.05,0.06,0.09,0.12,0.16,0.22,0.30,0.40,0.55,2010-08-22
0.06,0.05,0.06,0.09,0.12,0.16,0.22,0.30,0.41,0.55,2010-08-23
0.07,0.05,0.06,0.09,0.12,0.16,0.22,0.30,0.41,0.56,2010-08-24
0.06,0.05,0.07,0.09,0.12,0.16,0.22,0.31,0.41,0.56,2010-08-25
0.06,0.05,0.07,0.09,0.12,0.16,0.23,0.31,0.42,0.57,2010-08-26
0.07,0.05,0.07,0.09,0.12,0.17,0.23,0.31,0.42,0.57,2010-08-27
0.06,0.05,0.07,0.09,0.12,0.17,0.23,0.32,0.43,0.58,2010-08-28
0.06,0.05,0.07,0.09,0.13,0.17,0.23,0.32,0.43,0.59,2010-08-29
0.06,0.05,0.07,0.09,0.13,0.17,0.24,0.32,0.44,0.59,2010-08-30
0.06,0.05,0.07,0.10,0.13,0.17,0.24,0.33,0.44,0.60,2010-08-31
0.06,0.05,0.07,0.10,0.13,0.17,0.24,0.33,0.44,0.60,2010-09-01
0.06,0.05,0.07,0.10,0.13,0.18,0.24,0.33,0.45,0.61,2010-09-02
0.06,0.05,0.07,0.10,0.13,0.18,0.25,0.34,0.45,0.62,2010-09-03
0.06,0.05,0.07,0.10,0.13,0.18,0.25,0.34,0.46,0.62,2010-09-04
0.06,0.05,0.07,0.10,0.13,0.18,0.25,0.34,0.46,0.63,2010-09-05
0.06,0.05,0.07,0.10,0.14,0.18,0.25,0.35,0.47,0.64,2010-09-06
0.06,0.05,0.07,0.10,0.14,0.19,0.26,0.35,0.47,0.64,2010-09-07
0.06,0.06,0.08,0.10,0.14,0.19,0.26,0.36,0.48,0.65,2010-09-08
0.06,0.06,0.08,0.10,0.14,0.19,0.26,0.36,0.48,0.66,2010-09-09
0.06,0.06,0.08,0.11,0.14,0.19,0.26,0.36,0.49,0.66,2010-09-10
0.06,0.06,0.08,0.11,0.14,0.19,0.27,0.37,0.49,0.67,2010-09-11
0.06,0.06,0.08,0.11,0.14,0.20,0.27,0.37,0.50,0.68,2010-09-12
0.06,0.06,0.08,0.11,0.15,0.20,0.27,0.37,0.50,0.68,2010-09-13
0.06,0.06,0.08,0.11,0.15,0.20,0.27,0.38,0.51,0.69,2010-09-14
0.06,0.06,0.08,0.11,0.15,0.20,0.28,0.38,0.51,0.70,2010-09-15
0.06,0.06,0.08,0.11,0.15,0.20,0.28,0.38,0.52,0.70,2010-09-16
0.06,0.06,0.08,0.11,0.15,0.21,0.28,0.39,0.52,0.71,2010-09-17
0.06,0.06,0.08,0.11,0.15,0.21,0.29,0.39,0.53,0.72,2010-09-18
0.06,0.06,0.08,0.12,0.16,0.21,0.29,0.40,0.53,0.72,2010-09-19
0.06,0.06,0.08,0.12,0.16,0.21,0.29,0.40,0.54,0.73,2010-09-20
0.06,0.06,0.09,0.12,0.16,0.21,0.29,0.40,0.54,0.74,2010-09-21
0.06,0.06,0.09,0.12,0.16,0.22,0.30,0.41,0.55,0.75,2010-09-22
0.06,0.06,0.09,0.12,0.16,0.22,0.30,0.41,0.55,0.75,2010-09-23
0.06,0.06,0.09,0.12,0.16,0.22,0.30,0.42,0.56,0.76,2010-09-24
0.06,0.07,0.09,0.12,0.16,0.22,0.31,0.42,0.56,0.77,2010-09-25
0.06,0.07,0.09,0.12,0.17,0.22,0.31,0.42,0.57,0.78,2010-09-26
0.06,0.07,0.09,0.12,0.17,0.23,0.31,0.43,0.58,0.78,2010-09-27
0.06,0.07,0.09,0.13,0.17,0.23,0.31,0.43,0.58,0.79,2010-09-28
0.06,0.07,0.09,0.13,0.17,0.23,0.32,0.44,0.59,0.80,2010-09-29
0.06,0.07,0.09,0.13,0.17,0.23,0.32,0.44,0.59,0.81,2010-09-30
0.06,0.07,0.09,0.13,0.17,0.24,0.32,0.45,0.60,0.81,2010-10-01
0.06,0.07,0.10,0.13,0.18,0.24,0.33,0.45,0.60,0.82,2010-10-02
0.06,0.07,0.10,0.13,0.18,0.24,0.33,0.45,0.61,0.83,2010-10-03
0.06,0.07,0.10,0.13,0.18,0.24,0.33,0.46,0.62,0.84,2010-10-04
0.06,0.07,0.10,0.13,0.18,0.25,0.34,0.46,0.62,0.85,2010-10-05
0.06,0.07,0.10,0.14,0.18,0.25,0.34,0.47,0.63,0.85,2010-10-06
0.07,0.07,0.10,0.14,0.19,0.25,0.34,0.47,0.63,0.86,2010-10-07
0.08,0.07,0.10,0.14,0.19,0.25,0.35,0.48,0.64,0.87,2010-10-08
0.09,0.07,0.10,0.14,0.19,0.25,0.35,0.48,0.65,0.88,2010-10-09
0.10,0.08,0.10,0.14,0.19,0.26,0.35,0.49,0.65,0.89,2010-10-10
0.10,0.08,0.10,0.14,0.19,0.26,0.36,0.49,0.66,0.90,2010-10-11
0.09,0.08,0.10,0.14,0.19,0.26,0.36,0.50,0.67,0.91,2010-10-12
0.10,0.08,0.11,0.15,0.20,0.26,0.36,0.50,0.67,0.91,2010-10-13
0.10,0.08,0.11,0.15,0.20,0.27,0.37,0.51,0.68,0.92,2010-10-14
0.10,0.08,0.11,0.15,0.20,0.27,0.37,0.51,0.69,0.93,2010-10-15
0.10,0.08,0.11,0.15,0.20,0.27,0.37,0.52,0.69,0.94,2010-10-16
0.10,0.08,0.11,0.15,0.20,0.27,0.38,0.52,0.70,0.95,2010-10-17
0.10,0.08,0.11,0.15,0.21,0.28,0.38,0.53,0.70,0.96,2010-10-18
0.10,0.08,0.11,0.15,0.21,0.28,0.38,0.53,0.71,0.97,2010-10-19
0.10,0.08,0.11,0.16,0.21,0.28,0.39,0.54,0.72,0.98,2010-10-20
0.11,0.08,0.11,0.16,0.21,0.29,0.39,0.54,0.73,0.99,2010-10-21
0.10,0.08,0.12,0.16,0.21,0.29,0.40,0.55,0.73,1.00,2010-10-22
0.10,0.09,0.12,0.16,0.22,0.29,0.40,0.55,0.74,1.00,2010-10-23
