Date,ahrtop Index
2010-03-07,0.102
2010-03-08,0.11
2010-03-09,0.114
2010-03-10,0.131
2010-03-11,0.118
2010-03-12,0.116
2010-03-13,0.133
2010-03-14,0.129
2010-03-15,0.097
2010-03-16,0.103
2010-03-17,0.116
2010-03-18,0.109
2010-03-19,0.133
2010-03-20,0.126
2010-03-21,0.137
2010-03-22,0.14
2010-03-23,0.126
2010-03-24,0.137
2010-03-25,0.147
2010-03-26,0.157
2010-03-27,0.157
2010-03-28,0.163
2010-03-29,0.174
2010-03-30,0.178
2010-03-31,0.184
2010-04-01,0.194
2010-04-02,0.193
2010-04-03,0.204
2010-04-04,0.21
2010-04-05,0.209
2010-04-06,0.252
2010-04-07,0.236
2010-04-08,0.238
2010-04-09,0.265
2010-04-10,0.259
2010-04-11,0.273
2010-04-12,0.28
2010-04-13,0.293
2010-04-14,0.291
2010-04-15,0.308
2010-04-16,0.309
2010-04-17,0.298
2010-04-18,0.328
2010-04-19,0.329
2010-04-20,0.339
2010-04-21,0.366
2010-04-22,0.357
2010-04-23,0.403
2010-04-24,0.386
2010-04-25,0.375
2010-04-26,0.392
2010-04-27,0.394
2010-04-28,0.41
2010-04-29,0.419
2010-04-30,0.43
2010-05-01,0.444
2010-05-02,0.455
2010-05-03,0.463
2010-05-04,0.479
2010-05-05,0.49
2010-05-06,0.502
2010-05-07,0.513
2010-05-08,0.536
2010-05-09,0.554
2010-05-10,0.564
2010-05-11,0.576
2010-05-12,0.564
2010-05-13,0.507
2010-05-14,0.309
2010-05-15,0.272
2010-05-16,0.264
2010-05-17,0.279
2010-05-18,0.287
2010-05-19,0.241
2010-05-20,0.262
2010-05-21,0.254
2010-05-22,0.282
2010-05-23,0.284
2010-05-24,0.289
2010-05-25,0.33
2010-05-26,0.326
2010-05-27,0.286
2010-05-28,0.32
2010-05-29,0.31
2010-05-30,0.268
2010-05-31,0.209
2010-06-01,0.166
2010-06-02,0.109
2010-06-03,0.132
2010-06-04,0.113
2010-06-05,0.106
