Date,Altcoin Index
2017-04-03,96
2017-04-04,100
2017-04-05,96
2017-04-06,96
2017-04-07,85
2017-04-08,89
2017-04-09,93
2017-04-10,93
2017-04-11,93
2017-04-12,89
2017-04-13,85
2017-04-14,100
2017-04-15,100
2017-04-16,100
2017-04-17,100
2017-04-18,100
2017-04-19,100
2017-04-20,100
2017-04-21,100
2017-04-22,100
2017-04-23,100
2017-04-24,100
2017-04-25,100
2017-04-26,100
2017-04-27,96
2017-04-28,100
2017-04-29,100
2017-04-30,100
2017-05-01,100
2017-05-02,100
2017-05-03,100
2017-05-04,100
2017-05-05,100
2017-05-06,100
2017-05-07,100
2017-05-08,100
2017-05-09,100
2017-05-10,96
2017-05-11,100
2017-05-12,100
2017-05-13,100
2017-05-14,100
2017-05-15,100
2017-05-16,97
2017-05-17,97
2017-05-18,97
2017-05-19,97
2017-05-20,97
2017-05-21,97
2017-05-22,100
2017-05-23,100
2017-05-24,100
2017-05-25,100
2017-05-26,100
2017-05-27,100
2017-05-28,100
2017-05-29,100
2017-05-30,100
2017-05-31,100
2017-06-01,100
2017-06-02,100
2017-06-03,100
2017-06-04,100
2017-06-05,100
2017-06-06,100
2017-06-07,100
2017-06-08,100
2017-06-09,100
2017-06-10,97
2017-06-11,97
2017-06-12,100
2017-06-13,93
2017-06-14,93
2017-06-15,90
2017-06-16,93
2017-06-17,93
2017-06-18,93
2017-06-19,93
2017-06-20,97
2017-06-21,94
2017-06-22,94
2017-06-23,94
2017-06-24,94
2017-06-25,93
2017-06-26,94
2017-06-27,94
2017-06-28,90
2017-06-29,90
2017-06-30,90
2017-07-01,94
2017-07-02,94
2017-07-03,97
2017-07-04,97
2017-07-05,97
2017-07-06,97
2017-07-07,97
2017-07-08,97
2017-07-09,97
2017-07-10,90
2017-07-11,84
2017-07-12,84
2017-07-13,100
2017-07-14,100
2017-07-15,100
2017-07-16,100
2017-07-17,77
2017-07-18,84
2017-07-19,77
2017-07-20,81
2017-07-21,77
2017-07-22,81
2017-07-23,81
2017-07-24,80
2017-07-25,84
2017-07-26,84
2017-07-27,81
2017-07-28,81
2017-07-29,71
2017-07-30,74
2017-07-31,74
2017-08-01,77
2017-08-02,81
2017-08-03,79
2017-08-04,74
2017-08-05,61
2017-08-06,58
2017-08-07,61
2017-08-08,63
2017-08-09,60
2017-08-10,63
2017-08-11,65
2017-08-12,58
2017-08-13,58
2017-08-14,39
2017-08-15,32
2017-08-16,39
2017-08-18,29
2017-08-20,23
2017-08-21,29
2017-08-22,22
2017-08-23,22
2017-08-24,41
2017-08-25,39
2017-08-26,45
2017-08-27,45
2017-08-28,40
2017-08-29,37
2017-08-30,30
2017-08-31,30
2017-09-01,36
2017-09-02,27
2017-09-03,26
2017-09-04,22
2017-09-05,22
2017-09-06,23
2017-09-07,27
2017-09-08,21
2017-09-09,24
2017-09-10,26
2017-09-11,26
2017-09-12,26
2017-09-13,26
2017-09-14,29
2017-09-15,24
2017-09-16,18
2017-09-17,23
2017-09-18,21
2017-09-19,23
2017-09-20,23
2017-09-21,23
2017-09-22,23
2017-09-23,23
2017-09-24,23
2017-09-25,23
2017-09-26,23
2017-09-27,22
2017-09-28,22
2017-09-29,21
2017-09-30,21
2017-10-01,21
2017-10-02,21
2017-10-03,18
2017-10-04,18
2017-10-05,16
2017-10-06,21
2017-10-07,16
2017-10-08,16
2017-10-09,21
2017-10-10,23
2017-10-11,18
2017-10-12,26
2017-10-13,15
2017-10-14,18
2017-10-15,18
2017-10-16,18
2017-10-17,18
2017-10-18,18
2017-10-19,15
2017-10-20,15
