Date,BTC Price,Bubble Index,Google Trends,Difficulty,Transactions,Sent By Address,Tweets
2010-07-17,0.0495,-29.59827206,0.0287,181.543,235,390,0
2010-07-18,0.0726,-29.30591863,0.0365,181.543,248,424,0
2010-07-19,0.0859,-29.3180377,0.0213,181.543,354,553,0
2010-07-20,0.0783,-29.43677553,0.0612,181.543,413,632,0
2010-07-21,0.0767,-29.26829669,0.0538,181.543,256,440,0
2010-07-22,0.0649,-29.3599714,0.0288,181.543,221,412,0
2010-07-23,0.0566,-29.44896527,0.0731,181.543,217,405,0
2010-07-24,0.0581,-29.67854277,0.0826,181.543,705,645,0
2010-07-25,0.053,-29.85412124,0.027,181.543,1592,1793,0
2010-07-26,0.053,-29.51700979,0.00743,181.543,224,408,0
2010-07-27,0.058,-29.47308937,0.04,239.305,260,419,0
2010-07-28,0.0595,-29.75920738,0.00743,244.213,1792,343,0
2010-07-29,0.0648,-29.70631873,0.04,244.213,1687,367,0
2010-07-30,0.0663,-29.10021373,0.0213,244.213,143,293,0
2010-07-31,0.0664,-28.91800675,0.0556,244.213,92,263,0
2010-08-03,0.06,-29.5944744,0.0278,244.213,421,596,0
2010-08-05,0.0596,-29.53722445,0.0278,259.068,297,544,0
2010-08-07,0.0599,-29.06302521,0.0348,352.161,118,245,0
2010-08-10,0.069,-29.07315758,0.0278,352.161,149,299,0
2010-08-11,0.0635,-29.2709911,0.08,352.161,179,362,0
2010-08-12,0.069,-29.17655344,0.0835,352.161,175,353,0
2010-08-13,0.0655,-29.45618183,0.0591,352.161,301,529,0
2010-08-16,0.0643,-29.43196431,0.0522,511.774,306,449,0
2010-08-19,0.0673,-29.16240331,0.0278,511.774,190,301,0
2010-08-21,0.066,-29.19372293,0.0348,511.774,169,332,0
2010-08-26,0.0644,-29.17923331,0.0278,516.557,158,314,0
2010-08-27,0.0645,-29.00322136,0.0278,623.387,123,253,0
2010-08-28,0.0646,-29.18611768,0.0348,623.387,169,311,0
2010-08-29,0.0644,-28.91015583,0.0348,623.387,98,241,0
2010-08-31,0.0621,-29.38137408,0.0731,623.387,257,387,0
2010-09-01,0.0625,-29.3397633,0.0244,623.387,223,365,0
