Date,MVRV-Z Score
2010-08-02,5.736477
2010-08-06,6.15426
2010-08-09,7.150615
2010-08-16,6.734928
2010-08-18,7.119484
2010-08-24,6.889382
2010-08-29,6.920929
2010-08-30,7.183173
2010-08-31,6.690489
2010-09-01,7.14263
2010-09-05,7.244182
2010-09-09,7.296486
2010-09-12,7.496616
2010-09-14,7.699863
2010-09-18,7.576294
2010-09-27,7.7713
2010-09-28,7.664702
2010-10-01,7.663291
2010-10-02,7.392715
2010-10-03,7.410591
2010-10-13,8.042869
2010-10-18,6.095318
2010-10-21,5.382777
2010-10-23,4.686613
2010-11-08,5.503633
2010-11-15,4.383812
2010-11-19,3.740295
2010-11-20,3.326246
2010-11-21,2.948101
2010-11-22,2.83379
2010-11-23,2.643301
2010-11-24,2.515445
2010-11-26,2.41922
2010-11-27,2.322473
2010-11-29,1.741163
2010-11-30,1.499457
2010-12-01,1.697462
2010-12-02,1.954774
2010-12-03,1.89268
2010-12-04,1.413573
2010-12-05,1.393906
2010-12-06,1.399788
2010-12-07,1.698469
2010-12-08,1.746371
2010-12-09,1.340918
2010-12-10,1.388407
2010-12-11,1.640852
2010-12-12,1.554169
2010-12-13,1.632244
2010-12-14,1.827661
2010-12-15,1.74795
2010-12-16,1.845045
2010-12-17,1.763088
2010-12-18,1.741169
2010-12-19,1.729714
2010-12-20,1.99599
2010-12-21,1.710046
2010-12-22,1.796526
2010-12-23,1.792116
2010-12-24,1.768303
2010-12-25,1.784894
2010-12-26,1.935792
2010-12-27,1.926351
2010-12-28,2.082762
2010-12-29,2.248422
2010-12-30,2.226607
2010-12-31,2.208091
2011-01-01,2.191153
2011-01-02,2.171965
2011-01-03,2.107728
2011-01-04,2.134744
2011-01-05,2.12177
2011-01-06,2.101249
2011-01-07,2.299949
2011-01-08,2.307331
2011-01-09,2.289166
2011-01-10,2.296578
2011-01-11,2.259825
2011-01-12,2.171353
2011-01-13,2.139481
2011-01-14,2.86689
2011-01-15,2.689972
2011-01-16,2.650954
2011-01-17,2.285898
2011-01-18,1.946309
2011-01-19,1.93426
2011-01-20,2.600918
2011-01-21,2.817337
2011-01-22,2.931603
2011-01-23,2.883818
2011-01-24,2.646117
2011-01-25,2.531143
2011-01-26,2.408984
2011-01-27,2.425128
2011-01-28,2.5748
2011-01-29,2.487526
2011-01-30,2.742826
2011-01-31,3.027926
2011-02-01,4.148626
2011-02-02,4.015171
2011-02-03,3.632913
2011-02-04,4.141687
2011-02-05,4.415147
2011-02-06,4.078424
2011-02-07,3.797818
2011-02-08,3.759631
2011-02-09,3.995315
2011-02-10,3.645713
2011-02-11,3.779653
2011-02-12,3.707455
2011-02-13,3.448857
2011-02-14,3.380375
2011-02-15,3.199536
2011-02-16,3.045627
2011-02-17,2.997204
2011-02-18,2.450996
2011-02-19,2.568475
2011-02-20,2.26311
2011-02-21,2.142016
2011-02-22,2.257974
2011-02-23,2.309858
2011-02-24,2.567932
2011-02-25,2.294023
2011-02-26,2.398524
2011-02-27,2.164267
2011-02-28,2.030099
2011-03-01,2.108035
2011-03-02,2.144053
2011-03-03,2.12068
2011-03-04,1.984742
2011-03-05,1.988924
2011-03-06,1.90542
2011-03-07,1.873766
2011-03-08,1.827008
2011-03-09,1.800135
2011-03-10,1.973397
2011-03-11,1.83896
2011-03-12,1.936565
2011-03-13,1.847421
2011-03-14,1.836421
2011-03-15,1.761245
2011-03-16,1.68488
2011-03-17,1.600925
2011-03-18,1.528482
2011-03-19,1.416051
2011-03-20,1.345391
2011-03-21,1.396534
2011-03-22,1.543121
2011-03-23,1.660406
2011-03-24,1.715033
2011-03-25,1.742867
2011-03-26,1.646982
2011-03-27,1.544381
2011-03-28,1.461427
2011-03-29,1.453749
2011-03-30,1.444719
2011-03-31,1.428777
2011-04-01,1.39661
2011-04-02,1.420589
2011-04-03,1.411057
2011-04-04,1.109586
2011-04-05,1.218112
2011-04-06,1.29232
2011-04-07,1.334136
2011-04-08,1.322466
2011-04-09,1.274705
2011-04-10,1.273051
2011-04-11,1.385166
2011-04-12,1.658178
2011-04-13,1.858642
2011-04-14,2.04947
2011-04-15,1.985732
2011-04-16,2.156938
2011-04-17,2.286552
2011-04-18,2.40587
2011-04-19,2.474432
2011-04-20,2.326321
2011-04-21,2.485527
2011-04-22,2.986457
2011-04-23,4.011644
2011-04-24,3.376876
2011-04-25,3.128839
2011-04-26,3.566503
2011-04-27,3.778222
2011-04-28,4.495271
2011-04-29,5.165731
2011-04-30,5.858289
2011-05-01,4.71606
2011-05-02,4.62768
2011-05-03,4.611104
2011-05-04,4.378997
2011-05-05,4.075967
2011-05-06,4.02788
2011-05-07,4.104017
2011-05-08,4.17252
2011-05-09,3.935086
2011-05-10,5.68021
2011-05-11,5.018053
2011-05-12,5.460361
2011-05-13,6.333908
2011-05-14,4.926817
2011-05-15,4.541153
2011-05-16,4.887118
2011-05-17,4.181124
2011-05-18,3.670059
2011-05-19,3.614282
2011-05-20,2.697355
2011-05-21,2.952029
2011-05-22,3.238171
2011-05-23,3.346209
2011-05-24,3.430625
2011-05-25,3.942401
2011-05-26,3.890711
2011-05-27,3.578874
2011-05-28,3.378498
2011-05-29,3.306709
2011-05-30,3.384521
2011-05-31,3.257184
2011-06-01,3.560582
2011-06-02,3.882355
2011-06-03,5.046112
2011-06-04,6.077965
2011-06-05,5.020567
2011-06-06,5.12756
2011-06-07,6.068255
2011-06-08,6.716771
2011-06-09,5.940515
2011-06-10,4.460974
2011-06-11,2.296304
2011-06-12,3.016553
2011-06-13,3.047899
2011-06-14,2.830694
2011-06-15,2.730851
2011-06-16,2.350889
2011-06-17,1.817549
2011-06-18,2.067034
2011-06-19,2.144661
2011-06-20,2.10726
2011-06-21,2.066051
2011-06-22,2.036577
2011-06-23,2.007336
2011-06-24,1.976857
2011-06-25,1.950905
2011-06-26,1.719761
2011-06-27,1.752673
2011-06-28,1.760979
2011-06-29,1.719356
2011-06-30,1.581734
2011-07-01,1.44254
2011-07-02,1.428978
2011-07-03,1.431219
2011-07-04,1.157158
2011-07-05,1.000049
2011-07-06,1.289931
2011-07-07,1.295862
2011-07-08,1.207434
2011-07-09,1.216545
2011-07-10,1.24579
2011-07-11,1.187709
2011-07-12,1.134927
2011-07-13,1.122009
2011-07-14,1.121969
2011-07-15,1.08658
2011-07-16,1.068196
2011-07-17,0.99069
2011-07-18,1.085966
2011-07-19,1.112407
2011-07-20,1.097785
2011-07-21,1.084247
2011-07-22,1.095742
2011-07-23,1.089892
2011-07-24,1.136235
2011-07-25,1.13878
2011-07-26,1.110279
2011-07-27,1.10665
2011-07-28,1.04368
2011-07-29,1.044194
2011-07-30,1.045154
2011-07-31,1.017295
2011-08-01,0.960322
2011-08-02,0.831446
2011-08-03,0.374384
2011-08-04,0.612076
2011-08-05,0.449253
2011-08-06,0.019782
2011-08-07,0.269772
2011-08-08,0.170381
2011-08-09,0.497802
2011-08-10,0.538188
2011-08-11,0.440874
2011-08-12,0.443877
2011-08-13,0.533543
2011-08-14,0.663562
2011-08-15,0.715184
2011-08-16,0.690996
2011-08-17,0.684977
2011-08-18,0.667104
2011-08-19,0.79854
2011-08-20,0.763001
2011-08-21,0.745604
2011-08-22,0.674377
2011-08-23,0.674459
2011-08-24,0.66661
2011-08-25,0.440576
2011-08-26,0.206285
2011-08-27,0.347692
2011-08-28,0.419579
2011-08-29,0.407464
2011-08-30,0.383361
2011-08-31,0.283072
2011-09-01,0.290769
2011-09-02,0.355406
2011-09-03,0.327217
2011-09-04,0.287088
2011-09-05,0.187379
2011-09-06,0.064187
2011-09-07,0.119186
2011-09-08,0.040776
2011-09-09,-0.242354
2011-09-10,-0.282341
2011-09-11,-0.050535
2011-09-12,-0.007628
2011-09-13,-0.054006
2011-09-14,-0.088114
2011-09-15,-0.211641
2011-09-16,-0.216073
2011-09-17,-0.225161
2011-09-18,-0.145296
2011-09-19,-0.095073
2011-09-20,0.014311
2011-09-21,-0.080733
2011-09-22,-0.100302
2011-09-23,-0.084217
2011-09-24,-0.102421
2011-09-25,-0.116721
2011-09-26,-0.198382
2011-09-27,-0.19128
2011-09-28,-0.216866
2011-09-29,-0.214102
2011-09-30,-0.149172
2011-10-01,-0.167269
2011-10-02,-0.170897
2011-10-03,-0.167355
2011-10-04,-0.178747
2011-10-05,-0.191068
2011-10-06,-0.21864
2011-10-07,-0.298524
2011-10-08,-0.351232
2011-10-09,-0.32633
2011-10-10,-0.331663
2011-10-11,-0.342171
2011-10-12,-0.311919
2011-10-13,-0.335233
2011-10-14,-0.343373
2011-10-15,-0.370463
2011-10-16,-0.412013
2011-10-17,-0.59566
2011-10-18,-0.62255
2011-10-19,-0.655216
2011-10-20,-0.628628
2011-10-21,-0.588835
2011-10-22,-0.478686
2011-10-23,-0.480288
2011-10-24,-0.596405
2011-10-25,-0.544081
2011-10-26,-0.545509
2011-10-27,-0.495624
2011-10-28,-0.471174
2011-10-29,-0.397784
2011-10-30,-0.457368
2011-10-31,-0.455906
2011-11-01,-0.473709
2011-11-02,-0.455756
2011-11-03,-0.472757
2011-11-04,-0.48172
2011-11-05,-0.509084
2011-11-06,-0.512331
2011-11-07,-0.501881
2011-11-08,-0.493493
2011-11-09,-0.487913
2011-11-10,-0.500225
2011-11-11,-0.458751
2011-11-12,-0.467534
2011-11-13,-0.475469
2011-11-14,-0.62296
2011-11-15,-0.60352
2011-11-16,-0.494716
2011-11-17,-0.542941
2011-11-18,-0.568439
2011-11-19,-0.549991
2011-11-20,-0.549571
2011-11-21,-0.534838
2011-11-22,-0.526311
2011-11-23,-0.524568
2011-11-24,-0.504771
2011-11-25,-0.493991
2011-11-26,-0.49535
2011-11-27,-0.494448
2011-11-28,-0.471586
2011-11-29,-0.431731
2011-11-30,-0.393507
2011-12-01,-0.371725
2011-12-02,-0.368719
2011-12-03,-0.425104
2011-12-04,-0.42247
2011-12-05,-0.411438
2011-12-06,-0.382605
2011-12-07,-0.385394
2011-12-08,-0.384923
2011-12-09,-0.392316
2011-12-10,-0.369853
2011-12-11,-0.335055
2011-12-12,-0.348679
2011-12-13,-0.338046
2011-12-14,-0.35481
2011-12-15,-0.345413
2011-12-16,-0.344709
2011-12-17,-0.348406
2011-12-18,-0.348338
2011-12-19,-0.280865
2011-12-20,-0.19469
2011-12-21,-0.209437
2011-12-22,-0.207814
2011-12-23,-0.201642
2011-12-24,-0.201452
2011-12-25,-0.138903
2011-12-26,-0.189732
2011-12-27,-0.170046
2011-12-28,-0.147254
2011-12-29,-0.154921
2011-12-30,-0.126472
2011-12-31,-0.041288
2012-01-01,0.08134
2012-01-02,0.063315
2012-01-03,-0.010013
2012-01-04,0.141264
2012-01-05,0.409855
2012-01-06,0.362939
2012-01-07,0.384988
2012-01-08,0.446902
2012-01-09,0.266583
2012-01-10,0.31942
2012-01-11,0.395972
2012-01-12,0.365117
2012-01-13,0.293563
2012-01-14,0.359507
2012-01-15,0.421606
2012-01-16,0.346834
2012-01-17,0.10144
2012-01-18,0.169224
2012-01-19,0.258626
2012-01-20,0.299626
2012-01-21,0.22792
2012-01-22,0.255245
2012-01-23,0.270906
2012-01-24,0.247986
2012-01-25,0.144614
2012-01-26,0.047806
2012-01-27,0.035361
2012-01-28,0.116528
2012-01-29,0.05693
2012-01-30,0.083138
2012-01-31,0.092484
2012-02-01,0.213119
2012-02-02,0.218066
2012-02-03,0.184213
2012-02-04,0.17157
2012-02-05,0.122185
2012-02-06,0.079426
2012-02-07,0.121049
2012-02-08,0.111444
2012-02-09,0.161659
2012-02-10,0.185958
2012-02-11,0.108165
2012-02-12,0.086915
2012-02-13,0.057566
2012-02-14,-0.134838
2012-02-15,-0.166968
2012-02-16,-0.180389
2012-02-17,-0.14721
2012-02-18,-0.172164
2012-02-19,-0.143036
2012-02-20,-0.147993
2012-02-21,-0.158635
2012-02-22,-0.13302
2012-02-23,0.012262
2012-02-24,0.008301
2012-02-25,-0.052256
2012-02-26,-0.01541
2012-02-27,-0.009515
2012-02-28,-0.032721
2012-02-29,-0.02028
2012-03-01,-0.008771
2012-03-02,-0.056614
2012-03-03,-0.077093
2012-03-04,-0.02755
2012-03-05,0.0079
2012-03-06,0.008813
2012-03-07,-0.000918
2012-03-08,-0.00406
2012-03-09,-0.019146
2012-03-10,-0.025709
2012-03-11,-0.012793
2012-03-12,-0.007946
2012-03-13,0.084094
2012-03-14,0.106895
2012-03-15,0.093614
2012-03-16,0.092097
2012-03-17,0.067372
2012-03-18,0.076083
2012-03-19,-0.068451
2012-03-20,-0.029892
2012-03-21,-0.030644
2012-03-22,-0.051108
2012-03-23,-0.060634
2012-03-24,-0.069092
2012-03-25,-0.092889
2012-03-26,-0.071961
2012-03-27,-0.026932
2012-03-28,-0.032233
2012-03-29,-0.03061
2012-03-30,0.004692
2012-03-31,0.011698
2012-04-01,-0.012579
2012-04-02,0.035368
2012-04-03,0.032376
2012-04-04,0.022541
2012-04-05,0.023029
2012-04-06,0.029652
2012-04-07,-0.03125
2012-04-08,-0.013312
2012-04-09,0.004573
2012-04-10,0.002002
2012-04-11,0.02061
2012-04-12,0.016146
2012-04-13,0.024359
2012-04-14,0.029709
2012-04-15,0.030372
2012-04-16,0.026991
2012-04-17,0.031478
2012-04-18,0.07105
2012-04-19,0.07195
2012-04-20,0.131427
2012-04-21,0.109321
2012-04-22,0.085538
2012-04-23,0.064868
2012-04-24,0.058844
2012-04-25,0.068476
2012-04-26,0.056686
2012-04-27,0.05635
2012-04-28,0.023783
2012-04-29,0.008647
2012-04-30,0.020178
2012-05-01,0.03224
2012-05-02,0.049911
