Date,VOCD,Reserve Risk Index,HODL Bank,MVOCD
2010-08-17,0.00310068,1.04634838,0.06689932,0.00310068
2010-08-18,0.00940375,0.52857774,0.12864711,0.00625221
2010-08-19,0.00182875,0.34695051,0.19224644,0.00310068
2010-08-20,0.00198349,0.25665706,0.25520436,0.00254208
2010-08-21,0.00852098,0.20847483,0.31850368,0.00310068
2010-08-22,0.00892021,0.17412886,0.37862184,0.00581083
2010-08-23,0.00085866,0.14737831,0.44043116,0.00310068
2010-08-24,0.00234159,0.12929919,0.50271003,0.00272113
2010-08-25,0.00082961,0.11465608,0.56516844,0.00234159
2010-08-26,0.00085237,0.10217996,0.62708101,0.00216254
2010-08-27,0.00800622,0.09423849,0.68973941,0.00234159
2010-08-28,0.00110605,0.08588406,0.75217687,0.00216254
2010-08-29,0.00145981,0.07860540,0.81419339,0.00198349
2010-08-30,0.00159943,0.07406037,0.87725727,0.00190612
2010-08-31,0.01587470,0.06415234,0.93527378,0.00198349
2010-09-01,0.00479688,0.06232799,0.99513606,0.00216254
2010-09-02,0.00227782,0.06002320,1.05625825,0.00227782
2010-09-03,0.00679010,0.05458385,1.11479854,0.00230971
2010-09-04,0.00182198,0.05293124,1.17469900,0.00227782
2010-09-05,0.03516411,0.04995789,1.23403929,0.00230971
2010-09-06,0.00595388,0.04763018,1.29329770,0.00234159
2010-09-07,0.00508764,0.04530138,1.35181568,0.00272113
2010-09-08,0.00152160,0.04324787,1.41047409,0.00234159
2010-09-09,0.01490513,0.04160685,1.46886792,0.00272113
2010-09-10,0.00066366,0.03994109,1.52753785,0.00234159
2010-09-11,0.00154047,0.04004211,1.58884901,0.00230971
2010-09-12,0.00572909,0.03731779,1.64800742,0.00234159
2010-09-13,0.00825638,0.03641653,1.70746628,0.00272113
2010-09-14,0.00290731,0.03509102,1.76654897,0.00290731
2010-09-15,0.01217721,0.03311503,1.82394498,0.00300399
2010-09-16,0.01379348,0.03289067,1.88199288,0.00385210
2010-09-17,0.15076942,0.03095777,1.93814131,0.00385210
2010-09-18,0.00485717,0.03058695,1.99431429,0.00482702
2010-09-19,0.00381669,0.03055277,2.05218726,0.00482702
2010-09-20,0.00565735,0.02943961,2.10946197,0.00482702
2010-09-21,0.00202964,0.02890020,2.16780519,0.00430678
2010-09-22,0.00501647,0.02781383,2.22486004,0.00482702
2010-09-23,0.01422213,0.02723551,2.28207673,0.00493682
2010-09-24,0.00146521,0.02658870,2.33933991,0.00493682
2010-09-25,0.00569326,0.02588148,2.39630786,0.00505206
2010-09-26,0.00220146,0.02527135,2.45337104,0.00493682
2010-09-27,0.04825622,0.02477593,2.51051943,0.00505206
2010-09-28,0.28718046,0.02411479,2.56705083,0.00537250
2010-09-29,0.01255060,0.02360018,2.62328553,0.00567530
